ID,AT,V,AP,RH,EP
1,28.62,69.71,1009.67,62.12,437.52
2,14.84,41.48,1017.26,63.42,460.3
3,26.04,74.67,1016.68,81.2,433.55
4,13.55,42.99,1007.58,97.55,470.82
5,20.1,59.87,1018.97,87.23,444.71
6,20.76,59.04,1012.51,85.39,448.92
7,6.92,39.61,1018.64,82.27,483.83
8,24.22,56.89,1013.81,70.02,440.79
9,23.76,61.5,1009.15,68.52,441.16
10,27.07,74.87,1010.09,58.97,440.47
11,9.55,41.44,1015.07,85.94,481.75
12,29.25,69.13,1010.27,67.35,426.29
13,23.18,72.99,1009.01,90.09,439.12
14,11.59,40.05,1014.96,86.22,474.46
15,29.73,73.06,1010.27,84.84,432.73
16,29.09,47.93,1003.05,48.13,438.97
17,17.48,44.2,1018.89,61.51,457.15
18,29.79,62.66,1008.5,48.51,440.27
19,27.67,59.14,1016.51,61.2,433.37
20,24.31,66.49,1011.38,54.35,440.79
21,9.76,40.71,1020.88,91.82,470.95
22,22.86,58.96,1014.03,54.96,451.82
23,21.04,47.43,1007.15,64.82,450.27
24,22.31,70.32,1009.22,89.53,437.83
25,25.31,49.82,1014.62,62.15,453.05
26,29.51,75.6,1017.92,50.61,431.18
27,30.55,71.06,1009.33,73.38,432.6
28,12.24,41.2,1012.48,89.85,473.22
29,18.49,41.1,1001.9,59.99,460.76
30,28.97,73.5,1010.47,48.24,435.22
31,22.2,63.94,1017.38,56.17,445.6
32,26.31,48.6,1002.64,60.04,440.06
33,25.36,61.41,1011.89,55.64,452.29
34,32.06,71.85,1007.9,56.44,426.07
35,28.34,63.77,1013.7,61.13,439.75
36,28.8,73.4,1011.34,54.01,439.65
37,23.66,69.51,1012.9,52.59,435.39
38,23.24,45.01,1012.21,45.23,457.01
39,25.21,70.04,1009.51,76.13,432.93
40,34.76,68.94,1006.75,41.31,427.42
41,7.65,41.01,1024.31,97.17,475.89
42,26.44,69.34,1009.55,73.18,440.43
43,26.41,65.59,1010.69,73.78,441.49
44,21.73,50.32,1008.51,84.62,442.1
45,14.22,48.6,1006.26,88.05,459.69
46,28.77,75.23,1010.01,59,437.93
47,21.17,52.3,1009.67,88.88,444.5
48,14.66,41.66,1012.89,62.41,466.87
49,28.32,71.32,1008.02,78.82,433.82
